,,-1.220000,-1.220000,-1.220000,1.220000,1.220000,1.220000
,,-1.520000,0.000000,1.520000,1.520000,0.000000,-1.520000
0.199487,0.003325,-72.000000,-70.000000,-70.000000,-75.000000,-88.000000,-81.000000,
1.148890,0.019148,-72.000000,-71.000000,-70.000000,-76.000000,-84.000000,-82.000000,
1.325850,0.022098,-74.000000,-71.000000,-68.000000,-75.000000,-84.000000,-82.000000,
1.606926,0.026782,-74.000000,-69.000000,-69.000000,-75.000000,-82.000000,-84.000000,
1.822665,0.030378,-74.000000,-69.000000,-68.000000,-74.000000,-85.000000,-85.000000,
1.994324,0.033239,-74.000000,-69.000000,-69.000000,-75.000000,-85.000000,-86.000000,
2.208376,0.036806,-74.000000,-69.000000,-70.000000,-75.000000,-84.000000,-87.000000,
2.444039,0.040734,-73.000000,-71.000000,-70.000000,-76.000000,-84.000000,-89.000000,
2.664306,0.044405,-74.000000,-70.000000,-69.000000,-76.000000,-85.000000,-91.000000,
2.876560,0.047943,-74.000000,-69.000000,-69.000000,-76.000000,-84.000000,-90.000000,
3.085770,0.051430,-74.000000,-69.000000,-70.000000,-75.000000,-84.000000,-87.000000,
3.294256,0.054904,-74.000000,-71.000000,-71.000000,-76.000000,-84.000000,-90.000000,
3.465088,0.057751,-74.000000,-71.000000,-71.000000,-76.000000,-83.000000,-92.000000,
3.673778,0.061230,-74.000000,-71.000000,-71.000000,-76.000000,-84.000000,-90.000000,
3.882583,0.064710,-74.000000,-71.000000,-70.000000,-76.000000,-84.000000,-76.000000,
4.062124,0.067702,-74.000000,-72.000000,-70.000000,-76.000000,-84.000000,-77.000000,
4.234499,0.070575,-74.000000,-71.000000,-70.000000,-76.000000,-85.000000,-90.000000,
4.424358,0.073739,-74.000000,-71.000000,-70.000000,-76.000000,-85.000000,-90.000000,
4.618174,0.076970,-75.000000,-72.000000,-70.000000,-78.000000,-87.000000,-93.000000,
4.827623,0.080460,-75.000000,-73.000000,-70.000000,-77.000000,-88.000000,-91.000000,
5.017917,0.083632,-74.000000,-72.000000,-70.000000,-76.000000,-85.000000,-89.000000,
5.244581,0.087410,-74.000000,-71.000000,-71.000000,-76.000000,-85.000000,-88.000000,
5.416675,0.090278,-74.000000,-71.000000,-70.000000,-76.000000,-84.000000,-87.000000,
5.626107,0.093768,-74.000000,-71.000000,-70.000000,-76.000000,-85.000000,-91.000000,
5.851717,0.097529,-74.000000,-71.000000,-71.000000,-77.000000,-86.000000,-79.000000,
6.048324,0.100805,-74.000000,-71.000000,-71.000000,-78.000000,-85.000000,-90.000000,
6.239502,0.103992,-74.000000,-71.000000,-71.000000,-77.000000,-83.000000,-90.000000,
6.447942,0.107466,-74.000000,-70.000000,-70.000000,-77.000000,-82.000000,-88.000000,
6.652773,0.110880,-74.000000,-70.000000,-70.000000,-76.000000,-82.000000,-89.000000,
6.874361,0.114573,-74.000000,-70.000000,-71.000000,-77.000000,-82.000000,-90.000000,
7.097641,0.118294,-74.000000,-71.000000,-70.000000,-77.000000,-83.000000,-92.000000,
7.304756,0.121746,-75.000000,-71.000000,-70.000000,-77.000000,-82.000000,-90.000000,
7.518669,0.125311,-75.000000,-71.000000,-70.000000,-76.000000,-82.000000,-88.000000,
7.759954,0.129333,-74.000000,-69.000000,-72.000000,-76.000000,-82.000000,-86.000000,
7.915864,0.131931,-74.000000,-69.000000,-73.000000,-76.000000,-82.000000,-86.000000,
8.093789,0.134896,-74.000000,-69.000000,-72.000000,-76.000000,-82.000000,-86.000000,
8.293040,0.138217,-74.000000,-68.000000,-73.000000,-75.000000,-82.000000,-86.000000,
8.515525,0.141925,-74.000000,-67.000000,-73.000000,-75.000000,-82.000000,-85.000000,
8.752306,0.145872,-74.000000,-68.000000,-73.000000,-75.000000,-82.000000,-83.000000,
8.990158,0.149836,-74.000000,-67.000000,-71.000000,-74.000000,-82.000000,-81.000000,
9.246251,0.154104,-74.000000,-68.000000,-70.000000,-74.000000,-82.000000,-82.000000,
9.468838,0.157814,-74.000000,-68.000000,-70.000000,-74.000000,-82.000000,-82.000000,
9.681808,0.161363,-74.000000,-68.000000,-70.000000,-74.000000,-82.000000,-82.000000,
9.869958,0.164499,-74.000000,-69.000000,-70.000000,-74.000000,-82.000000,-82.000000,
10.093270,0.168221,-74.000000,-68.000000,-70.000000,-74.000000,-82.000000,-82.000000,
10.306346,0.171772,-74.000000,-69.000000,-70.000000,-74.000000,-82.000000,-82.000000,
10.529924,0.175499,-74.000000,-68.000000,-70.000000,-75.000000,-82.000000,-83.000000,
10.735253,0.178921,-74.000000,-68.000000,-70.000000,-74.000000,-82.000000,-82.000000,
10.958295,0.182638,-74.000000,-68.000000,-70.000000,-74.000000,-82.000000,-82.000000,
11.166192,0.186103,-74.000000,-68.000000,-70.000000,-74.000000,-82.000000,-83.000000,
11.360428,0.189340,-74.000000,-68.000000,-71.000000,-74.000000,-82.000000,-82.000000,
11.602254,0.193371,-74.000000,-68.000000,-70.000000,-74.000000,-82.000000,-82.000000,
