,,-1.220000,-1.220000,-1.220000,1.220000,1.220000,1.220000
,,-1.520000,0.000000,1.520000,1.520000,0.000000,-1.520000
0.156404,0.002607,-74.000000,-70.000000,-73.000000,-69.000000,-73.000000,-72.000000,
0.699913,0.011665,-74.000000,-70.000000,-73.000000,-68.000000,-74.000000,-76.000000,
0.892494,0.014875,-74.000000,-69.000000,-72.000000,-68.000000,-76.000000,-76.000000,
1.067867,0.017798,-73.000000,-69.000000,-72.000000,-69.000000,-76.000000,-74.000000,
1.274977,0.021250,-74.000000,-69.000000,-73.000000,-69.000000,-76.000000,-76.000000,
1.468558,0.024476,-72.000000,-69.000000,-72.000000,-70.000000,-74.000000,-75.000000,
1.799239,0.029987,-73.000000,-69.000000,-73.000000,-70.000000,-74.000000,-79.000000,
1.965392,0.032757,-74.000000,-69.000000,-73.000000,-69.000000,-74.000000,-77.000000,
2.163568,0.036059,-74.000000,-69.000000,-73.000000,-69.000000,-74.000000,-76.000000,
2.348345,0.039139,-74.000000,-69.000000,-72.000000,-68.000000,-74.000000,-74.000000,
2.556261,0.042604,-74.000000,-69.000000,-73.000000,-69.000000,-79.000000,-74.000000,
2.734572,0.045576,-74.000000,-68.000000,-72.000000,-69.000000,-79.000000,-73.000000,
2.923270,0.048721,-75.000000,-69.000000,-72.000000,-69.000000,-76.000000,-77.000000,
3.115072,0.051918,-74.000000,-70.000000,-72.000000,-69.000000,-78.000000,-75.000000,
3.306948,0.055116,-74.000000,-70.000000,-72.000000,-70.000000,-75.000000,-76.000000,
3.538235,0.058971,-74.000000,-69.000000,-72.000000,-69.000000,-76.000000,-75.000000,
3.708357,0.061806,-74.000000,-69.000000,-72.000000,-70.000000,-76.000000,-73.000000,
3.867751,0.064463,-74.000000,-69.000000,-71.000000,-70.000000,-76.000000,-75.000000,
4.082898,0.068048,-74.000000,-68.000000,-71.000000,-70.000000,-76.000000,-77.000000,
4.267287,0.071121,-74.000000,-69.000000,-71.000000,-68.000000,-76.000000,-76.000000,
4.493755,0.074896,-74.000000,-69.000000,-72.000000,-69.000000,-75.000000,-78.000000,
4.736472,0.078941,-74.000000,-69.000000,-72.000000,-71.000000,-75.000000,-78.000000,
4.924862,0.082081,-74.000000,-69.000000,-72.000000,-71.000000,-75.000000,-77.000000,
5.153926,0.085899,-73.000000,-69.000000,-73.000000,-70.000000,-74.000000,-76.000000,
5.323193,0.088720,-73.000000,-68.000000,-72.000000,-70.000000,-74.000000,-78.000000,
5.531209,0.092187,-74.000000,-69.000000,-73.000000,-70.000000,-74.000000,-78.000000,
5.773628,0.096227,-73.000000,-68.000000,-73.000000,-70.000000,-74.000000,-77.000000,
5.980286,0.099671,-73.000000,-69.000000,-73.000000,-70.000000,-75.000000,-76.000000,
6.223813,0.103730,-73.000000,-69.000000,-73.000000,-70.000000,-75.000000,-76.000000,
6.412115,0.106869,-73.000000,-70.000000,-74.000000,-70.000000,-74.000000,-76.000000,
6.620605,0.110343,-73.000000,-68.000000,-73.000000,-70.000000,-75.000000,-76.000000,
6.818408,0.113640,-72.000000,-69.000000,-73.000000,-71.000000,-74.000000,-76.000000,
