Gaussian stddev, weight by dist, Particle scatter factor, numParticles, resampling method, avgDist, stddevDist, avgAng, stddevAng, avgDistMax, stddevDistMax, avgAngMax, stddevAngMax
1.000000e-01,1,1.000000e-01,250,multinomial,1.122059e+01,3.772656e+00,1.129005e+00,4.741633e-01,1.121311e+01,3.780584e+00,1.122695e+00,5.004455e-01
1.000000e-01,1,1.000000e-01,250,systematic,1.063726e+01,4.174998e+00,-2.867839e-01,2.296097e-01,1.062510e+01,4.184485e+00,-2.892063e-01,2.289214e-01
1.000000e-01,1,1.000000e-01,250,stratified,1.188824e+01,2.772712e+00,2.779076e-01,2.063532e-01,1.189111e+01,2.766110e+00,2.770099e-01,2.042094e-01
1.000000e-01,1,1.000000e-01,250,residual,1.255905e+01,3.479021e+00,6.040551e-01,4.895154e-01,1.256538e+01,3.474089e+00,6.047005e-01,4.888738e-01
1.000000e-01,1,1.000000e-01,500,multinomial,9.930953e+00,3.478275e+00,1.945019e+00,1.297887e+00,9.937985e+00,3.471407e+00,1.958800e+00,1.274932e+00
1.000000e-01,1,1.000000e-01,500,systematic,1.129330e+01,3.178177e+00,6.151383e-01,5.171463e-01,1.129290e+01,3.179663e+00,6.103933e-01,5.188402e-01
1.000000e-01,1,1.000000e-01,500,stratified,7.747667e+00,3.323087e+00,1.094252e+00,1.312389e+00,7.755415e+00,3.322054e+00,1.097274e+00,1.317657e+00
1.000000e-01,1,1.000000e-01,500,residual,1.006723e+01,2.650724e+00,-2.649937e-01,1.803399e-01,1.007886e+01,2.658199e+00,-2.634572e-01,1.816596e-01
1.000000e-01,1,1.000000e-01,1000,multinomial,1.010418e+01,2.720448e+00,3.353068e-01,3.802741e-01,1.011076e+01,2.704374e+00,3.368801e-01,3.726152e-01
1.000000e-01,1,1.000000e-01,1000,systematic,9.336789e+00,1.951210e+00,-8.691850e-02,2.251173e-01,9.337602e+00,1.953354e+00,-8.610299e-02,2.322573e-01
