Gaussian stddev, weight by dist, Particle scatter factor, numParticles, resampling method, avgDist, stddevDist, avgAng, stddevAng, avgDistMax, stddevDistMax, avgAngMax, stddevAngMax
1.000000e-01,1,1.000000e-01,250,multinomial,7.208249e+00,2.309166e+00,5.160064e-01,7.682884e-01,7.216844e+00,2.304030e+00,5.284869e-01,7.774241e-01
1.000000e-01,1,1.000000e-01,250,systematic,6.864739e+00,2.690342e+00,1.209256e+00,1.108165e+00,6.869933e+00,2.692092e+00,1.204840e+00,1.108850e+00
1.000000e-01,1,1.000000e-01,250,stratified,8.316944e+00,1.523410e+00,-1.323149e+00,2.552432e+00,8.316235e+00,1.521331e+00,-1.272047e+00,2.578436e+00
1.000000e-01,1,1.000000e-01,250,residual,1.220557e+01,2.707354e+00,-1.065498e+00,1.618053e-01,1.220623e+01,2.704564e+00,-1.066198e+00,1.650332e-01
1.000000e-01,1,1.000000e-01,500,multinomial,4.900265e+00,2.242117e+00,-7.377095e-01,3.303842e-01,4.916173e+00,2.240173e+00,-7.359084e-01,3.428206e-01
1.000000e-01,1,1.000000e-01,500,systematic,8.738993e+00,3.758452e+00,5.409531e-01,4.598958e-01,8.745699e+00,3.751349e+00,5.480502e-01,4.622728e-01
1.000000e-01,1,1.000000e-01,500,stratified,6.600809e+00,2.425084e+00,-1.807288e+00,7.180355e-01,6.607085e+00,2.420646e+00,-1.806167e+00,7.194892e-01
1.000000e-01,1,1.000000e-01,500,residual,8.555746e+00,2.323310e+00,-5.575706e-01,1.620579e-01,8.550780e+00,2.331818e+00,-5.552106e-01,1.562263e-01
1.000000e-01,1,1.000000e-01,1000,multinomial,8.930356e+00,4.524841e+00,-7.045654e-01,3.476658e-01,8.931107e+00,4.524113e+00,-7.017506e-01,3.492001e-01
1.000000e-01,1,1.000000e-01,1000,systematic,7.999228e+00,2.032109e+00,1.858755e+00,1.225960e+00,8.004822e+00,2.028161e+00,1.843711e+00,1.250244e+00
1.000000e-01,1,1.000000e-01,1000,stratified,5.574830e+00,1.405307e+00,-1.251179e+00,3.301941e-01,5.584280e+00,1.404678e+00,-1.250256e+00,3.362741e-01
1.000000e-01,1,1.000000e-01,1000,residual,5.483526e+00,1.832735e+00,-3.309524e-01,2.100128e+00,5.482708e+00,1.836022e+00,-3.339139e-01,2.090851e+00
1.000000e-01,1,1.000000e-01,5000,multinomial,7.180800e+00,2.190191e+00,-2.121689e+00,1.206686e+00,7.184340e+00,2.185974e+00,-2.119447e+00,1.213304e+00
1.000000e-01,1,1.000000e-01,5000,systematic,8.581340e+00,2.556569e+00,-5.891293e-01,2.282628e-01,8.591883e+00,2.543411e+00,-5.900244e-01,2.323225e-01
1.000000e-01,1,1.000000e-01,5000,stratified,7.160942e+00,1.799085e+00,-1.540789e+00,1.915484e+00,7.166818e+00,1.795706e+00,-1.548611e+00,1.908207e+00
1.000000e-01,1,1.000000e-01,5000,residual,1.213657e+01,1.827153e+00,-1.178847e+00,3.052560e-01,1.214508e+01,1.795538e+00,-1.179831e+00,3.069225e-01
1.000000e-01,1,1.000000e-01,10000,multinomial,8.818487e+00,1.668683e+00,1.462549e+00,2.482903e+00,8.833283e+00,1.644946e+00,1.520789e+00,2.450173e+00
1.000000e-01,1,1.000000e-01,10000,systematic,6.532061e+00,3.484604e+00,-6.206584e-01,3.021504e-01,6.533410e+00,3.484039e+00,-6.197083e-01,3.028189e-01
