Gaussian stddev, weight by dist, Particle scatter factor, numParticles, resampling method, avgDist, avgAng, stddevDist, stddevAng, avgDistMax, avgAngMax, stddevDistMax, stddevAngMax
5,1,1.000000e-01,500,multinomial,3.272000e+00,-1.398193e+00,1.775169e+00,1.019991e+00,3.317552e+00,-1.375974e+00,1.825875e+00,1.125227e+00
5,1,1.000000e-01,1000,multinomial,3.260368e+00,-1.392096e+00,1.774499e+00,1.057804e+00,3.403345e+00,-1.348739e+00,1.780384e+00,1.195070e+00
5,1,1,500,multinomial,4.349235e+00,-6.177696e-01,3.112732e+00,1.272323e+00,5.299655e+00,-5.154638e-01,3.361656e+00,1.579417e+00
5,1,1,1000,multinomial,4.326615e+00,-5.873612e-01,3.106605e+00,1.287090e+00,5.107948e+00,-5.671931e-01,3.273129e+00,1.571291e+00
5,2,1.000000e-01,500,multinomial,3.279772e+00,-1.410789e+00,1.779779e+00,1.014195e+00,3.357933e+00,-1.373957e+00,1.816098e+00,1.160897e+00
5,2,1.000000e-01,1000,multinomial,3.229382e+00,-1.372819e+00,1.795885e+00,1.013545e+00,3.366841e+00,-1.353472e+00,1.800171e+00,1.146150e+00
5,2,1,500,multinomial,4.327844e+00,-5.857396e-01,3.087460e+00,1.281730e+00,5.098253e+00,-6.598673e-01,3.483885e+00,1.522298e+00
5,2,1,1000,multinomial,4.322126e+00,-6.356490e-01,3.129716e+00,1.259769e+00,5.135892e+00,-5.693259e-01,3.475795e+00,1.563931e+00
10,1,1.000000e-01,500,multinomial,3.606790e+00,-1.344716e+00,2.024076e+00,1.381391e+00,3.954948e+00,-9.848913e-01,2.382371e+00,1.673702e+00
10,1,1.000000e-01,1000,multinomial,3.760599e+00,-1.378321e+00,1.951893e+00,1.380159e+00,4.057208e+00,-8.623716e-01,2.419111e+00,1.764031e+00
10,1,1,500,multinomial,4.173294e+00,-6.418702e-01,2.888337e+00,1.235952e+00,5.057271e+00,-5.769524e-01,3.411325e+00,1.669671e+00
10,1,1,1000,multinomial,4.165420e+00,-6.633766e-01,2.879719e+00,1.229186e+00,5.154245e+00,-5.524808e-01,3.505718e+00,1.648391e+00
10,2,1.000000e-01,500,multinomial,3.609576e+00,-1.244795e+00,2.181437e+00,1.392338e+00,4.037636e+00,-9.208495e-01,2.552854e+00,1.687415e+00
