Gaussian stddev, weight by dist, Particle scatter factor, numParticles, resampling method, avgDist, stddevDist, avgAng, stddevAng, avgDistMax, stddevDistMax, avgAngMax, stddevAngMax
6.000000e-01,1,5.000000e-01,500,multinomial,3.238021e+00,2.449970e+00,-6.949148e-01,1.585220e+00,3.728331e+00,2.394320e+00,-6.729445e-01,1.689104e+00
6.000000e-01,1,5.000000e-01,500,systematic,3.443872e+00,2.351282e+00,-5.719236e-01,1.503152e+00,3.941802e+00,2.348910e+00,-2.397179e-01,1.542419e+00
6.000000e-01,1,5.000000e-01,500,stratified,3.244939e+00,2.472167e+00,-8.296438e-01,1.325794e+00,4.038894e+00,2.385142e+00,-3.806063e-01,1.562247e+00
6.000000e-01,1,5.000000e-01,500,residual,3.456632e+00,2.298729e+00,-6.500659e-01,1.449626e+00,3.918794e+00,2.237676e+00,-3.457450e-01,1.639838e+00
6.000000e-01,1,5.000000e-01,1000,multinomial,3.369224e+00,2.513884e+00,-6.818557e-01,1.441480e+00,4.037597e+00,2.422449e+00,-3.940935e-01,1.523078e+00
6.000000e-01,1,5.000000e-01,1000,systematic,3.367747e+00,2.354728e+00,-7.687279e-01,1.378368e+00,3.999066e+00,2.370457e+00,-4.886118e-01,1.653838e+00
6.000000e-01,1,5.000000e-01,1000,stratified,3.447245e+00,2.408051e+00,-6.794228e-01,1.482653e+00,3.821814e+00,2.468964e+00,-4.985380e-01,1.649193e+00
6.000000e-01,1,5.000000e-01,1000,residual,3.459257e+00,2.417600e+00,-5.137216e-01,1.594471e+00,3.906951e+00,2.342785e+00,-2.997120e-01,1.704926e+00
6.000000e-01,1,5.000000e-01,3000,multinomial,3.388887e+00,2.458560e+00,-7.060027e-01,1.428400e+00,3.970776e+00,2.483125e+00,-4.911303e-01,1.632833e+00
6.000000e-01,1,5.000000e-01,3000,systematic,3.394922e+00,2.425576e+00,-7.356790e-01,1.393759e+00,3.982598e+00,2.514364e+00,-4.334099e-01,1.638245e+00
6.000000e-01,1,5.000000e-01,3000,stratified,3.205937e+00,2.277843e+00,-9.235108e-01,1.150428e+00,3.940807e+00,2.439021e+00,-4.411792e-01,1.565306e+00
6.000000e-01,1,5.000000e-01,3000,residual,3.451010e+00,2.393207e+00,-7.047185e-01,1.418502e+00,4.030872e+00,2.402659e+00,-3.125021e-01,1.637985e+00
6.000000e-01,1,5.000000e-01,5000,multinomial,3.226068e+00,2.328511e+00,-9.576698e-01,1.044552e+00,4.030240e+00,2.308675e+00,-4.654585e-01,1.455569e+00
6.000000e-01,1,5.000000e-01,5000,systematic,3.178846e+00,2.172591e+00,-9.338071e-01,1.198466e+00,3.860948e+00,2.399682e+00,-5.284319e-01,1.438232e+00
6.000000e-01,1,5.000000e-01,5000,stratified,3.353267e+00,2.434645e+00,-7.441970e-01,1.413842e+00,4.027944e+00,2.450220e+00,-4.668627e-01,1.701844e+00
6.000000e-01,1,5.000000e-01,5000,residual,3.404530e+00,2.457740e+00,-7.880590e-01,1.313184e+00,3.952455e+00,2.499263e+00,-4.837200e-01,1.531296e+00
6.000000e-01,1,5.000000e-01,7500,multinomial,3.407049e+00,2.424770e+00,-7.352784e-01,1.382015e+00,4.169064e+00,2.474289e+00,-3.330199e-01,1.649286e+00
6.000000e-01,1,5.000000e-01,7500,systematic,3.417852e+00,2.393706e+00,-7.083190e-01,1.416746e+00,4.022671e+00,2.466841e+00,-4.070604e-01,1.545431e+00
6.000000e-01,1,5.000000e-01,7500,stratified,3.243056e+00,2.201436e+00,-9.268152e-01,1.061637e+00,4.147391e+00,2.368803e+00,-1.428097e-01,1.648835e+00
6.000000e-01,1,5.000000e-01,7500,residual,3.256884e+00,2.210659e+00,-9.210535e-01,1.068345e+00,3.872447e+00,2.349034e+00,-5.022422e-01,1.416503e+00
6.000000e-01,1,5.000000e-01,10000,multinomial,3.275671e+00,2.460868e+00,-8.142932e-01,1.312222e+00,3.848716e+00,2.463108e+00,-5.574970e-01,1.502449e+00
6.000000e-01,1,5.000000e-01,10000,systematic,3.384144e+00,2.415800e+00,-7.116217e-01,1.414902e+00,3.941229e+00,2.394760e+00,-4.599770e-01,1.576106e+00
6.000000e-01,1,5.000000e-01,10000,stratified,3.366821e+00,2.438186e+00,-7.259149e-01,1.428617e+00,3.923822e+00,2.530104e+00,-5.134196e-01,1.576367e+00
6.000000e-01,1,5.000000e-01,10000,residual,3.425558e+00,2.445578e+00,-7.062672e-01,1.393250e+00,3.982451e+00,2.411470e+00,-4.074167e-01,1.632794e+00
6.000000e-01,1,7.000000e-01,500,multinomial,3.138192e+00,2.187970e+00,-9.329572e-01,1.109813e+00,3.899134e+00,2.312561e+00,-5.344599e-01,1.551273e+00
6.000000e-01,1,7.000000e-01,500,systematic,3.272830e+00,2.408319e+00,-7.747033e-01,1.375139e+00,3.965524e+00,2.461885e+00,-3.843519e-01,1.661940e+00
6.000000e-01,1,7.000000e-01,500,stratified,2.641501e+00,1.904715e+00,-1.313110e+00,5.492971e-01,3.359124e+00,1.970790e+00,-1.037155e+00,1.265396e+00
6.000000e-01,1,7.000000e-01,500,residual,3.439564e+00,2.422678e+00,-6.637595e-01,1.388424e+00,3.957215e+00,2.476855e+00,-4.415301e-01,1.639636e+00
6.000000e-01,1,7.000000e-01,1000,multinomial,3.040057e+00,2.143881e+00,-9.559785e-01,1.087115e+00,3.747057e+00,2.607697e+00,-8.126131e-01,1.501051e+00
6.000000e-01,1,7.000000e-01,1000,systematic,3.050028e+00,2.260434e+00,-9.439582e-01,1.148523e+00,3.983453e+00,2.676534e+00,-5.688410e-01,1.602212e+00
6.000000e-01,1,7.000000e-01,1000,stratified,2.982719e+00,2.169332e+00,-1.049944e+00,1.002723e+00,3.711883e+00,2.255773e+00,-6.875257e-01,1.470633e+00
6.000000e-01,1,7.000000e-01,1000,residual,3.251253e+00,2.405232e+00,-7.733820e-01,1.444406e+00,3.879405e+00,2.484617e+00,-4.526601e-01,1.670942e+00
6.000000e-01,1,7.000000e-01,3000,multinomial,2.968617e+00,2.113118e+00,-9.913869e-01,1.144361e+00,3.739574e+00,2.533123e+00,-4.593285e-01,1.591101e+00
6.000000e-01,1,7.000000e-01,3000,systematic,2.851216e+00,1.758997e+00,-1.223353e+00,6.896593e-01,3.735082e+00,2.245398e+00,-7.056271e-01,1.534185e+00
6.000000e-01,1,7.000000e-01,3000,stratified,3.300673e+00,2.503665e+00,-9.776713e-01,1.250058e+00,4.053423e+00,2.727601e+00,-7.078438e-01,1.624988e+00
6.000000e-01,1,7.000000e-01,3000,residual,3.133650e+00,2.305275e+00,-8.495817e-01,1.361199e+00,3.948335e+00,2.456099e+00,-5.289290e-01,1.607368e+00
6.000000e-01,1,7.000000e-01,5000,multinomial,3.175134e+00,2.336925e+00,-9.914904e-01,1.274147e+00,4.144733e+00,2.531275e+00,-3.640040e-01,1.690674e+00
6.000000e-01,1,7.000000e-01,5000,systematic,3.167552e+00,2.332023e+00,-8.963596e-01,1.341376e+00,3.928125e+00,2.493829e+00,-4.006400e-01,1.664287e+00
6.000000e-01,1,7.000000e-01,5000,stratified,3.121639e+00,2.271958e+00,-9.494004e-01,1.279124e+00,3.741522e+00,2.554880e+00,-6.134076e-01,1.575038e+00
6.000000e-01,1,7.000000e-01,5000,residual,2.924019e+00,2.114596e+00,-1.026093e+00,1.136889e+00,3.918109e+00,2.610010e+00,-7.448981e-01,1.441579e+00
6.000000e-01,1,7.000000e-01,7500,multinomial,3.191820e+00,2.337566e+00,-7.989766e-01,1.398868e+00,3.839763e+00,2.535262e+00,-5.111653e-01,1.674288e+00
6.000000e-01,1,7.000000e-01,7500,systematic,3.187048e+00,2.344400e+00,-9.608336e-01,1.287013e+00,4.173623e+00,2.591970e+00,-4.068167e-01,1.744899e+00
6.000000e-01,1,7.000000e-01,7500,stratified,3.183577e+00,2.313990e+00,-9.377174e-01,1.285690e+00,3.994566e+00,2.556424e+00,-4.365188e-01,1.609016e+00
6.000000e-01,1,7.000000e-01,7500,residual,3.052123e+00,2.134067e+00,-1.038341e+00,1.134981e+00,4.032691e+00,2.685475e+00,-5.144288e-01,1.611382e+00
6.000000e-01,1,7.000000e-01,10000,multinomial,3.019385e+00,2.148776e+00,-1.020335e+00,1.162639e+00,3.847760e+00,2.516043e+00,-5.918845e-01,1.599288e+00
6.000000e-01,1,7.000000e-01,10000,systematic,3.126387e+00,2.169454e+00,-9.964442e-01,1.184530e+00,3.805244e+00,2.536960e+00,-6.323428e-01,1.640653e+00
6.000000e-01,1,7.000000e-01,10000,stratified,3.109138e+00,2.269715e+00,-9.940551e-01,1.243119e+00,3.858529e+00,2.543247e+00,-6.067163e-01,1.651367e+00
6.000000e-01,1,7.000000e-01,10000,residual,3.189943e+00,2.327764e+00,-9.551926e-01,1.286672e+00,4.012801e+00,2.593493e+00,-4.715486e-01,1.585863e+00
6.000000e-01,1,9.000000e-01,500,multinomial,4.913308e+00,5.680318e+00,-8.740879e-01,1.453625e+00,5.694312e+00,5.519830e+00,-5.513272e-01,1.737574e+00
6.000000e-01,1,9.000000e-01,500,systematic,2.918144e+00,2.035618e+00,-9.222683e-01,1.176847e+00,3.883507e+00,2.372893e+00,-5.155422e-01,1.533510e+00
6.000000e-01,1,9.000000e-01,500,stratified,2.979131e+00,2.136050e+00,-8.888781e-01,1.151796e+00,3.925056e+00,2.489257e+00,-5.890626e-01,1.591433e+00
6.000000e-01,1,9.000000e-01,500,residual,3.031824e+00,2.410291e+00,-8.163221e-01,1.419428e+00,3.845847e+00,2.495412e+00,-4.843451e-01,1.653070e+00
6.000000e-01,1,9.000000e-01,1000,multinomial,3.191294e+00,2.260837e+00,-7.856715e-01,1.378685e+00,4.122151e+00,2.659000e+00,-5.698818e-01,1.651465e+00
6.000000e-01,1,9.000000e-01,1000,systematic,5.302523e+00,6.451577e+00,-1.070113e+00,1.301634e+00,6.102633e+00,6.252993e+00,-7.556224e-01,1.709260e+00
6.000000e-01,1,9.000000e-01,1000,stratified,5.036206e+00,5.714681e+00,-1.148759e+00,1.118174e+00,5.678192e+00,5.554642e+00,-7.324896e-01,1.595090e+00
6.000000e-01,1,9.000000e-01,1000,residual,3.686478e+00,3.326500e+00,-1.083695e+00,1.111955e+00,4.511554e+00,3.569255e+00,-6.903856e-01,1.637508e+00
6.000000e-01,1,9.000000e-01,3000,multinomial,2.948841e+00,2.167453e+00,-1.097582e+00,1.127580e+00,3.818164e+00,2.489330e+00,-5.203141e-01,1.723391e+00
6.000000e-01,1,9.000000e-01,3000,systematic,3.109608e+00,2.322271e+00,-9.985879e-01,1.213283e+00,3.902931e+00,2.635039e+00,-6.187465e-01,1.604263e+00
6.000000e-01,1,9.000000e-01,3000,stratified,3.190678e+00,2.380915e+00,-9.518853e-01,1.287220e+00,4.207549e+00,2.657482e+00,-5.743884e-01,1.688033e+00
6.000000e-01,1,9.000000e-01,3000,residual,4.940556e+00,5.559559e+00,-1.162069e+00,1.164639e+00,5.705914e+00,5.469325e+00,-7.714748e-01,1.598504e+00
6.000000e-01,1,9.000000e-01,5000,multinomial,3.026148e+00,2.141963e+00,-9.768541e-01,1.223737e+00,3.995397e+00,2.439874e+00,-6.118318e-01,1.675905e+00
6.000000e-01,1,9.000000e-01,5000,systematic,3.165303e+00,2.256736e+00,-1.003164e+00,1.204920e+00,4.015986e+00,2.483151e+00,-4.172534e-01,1.688036e+00
6.000000e-01,1,9.000000e-01,5000,stratified,3.107349e+00,2.316747e+00,-9.659134e-01,1.207988e+00,4.053854e+00,2.601635e+00,-5.435519e-01,1.599126e+00
6.000000e-01,1,9.000000e-01,5000,residual,2.962032e+00,2.178083e+00,-1.079212e+00,1.127019e+00,3.936184e+00,2.582666e+00,-6.068657e-01,1.614511e+00
6.000000e-01,1,9.000000e-01,7500,multinomial,3.171387e+00,2.324760e+00,-9.279851e-01,1.325359e+00,3.936732e+00,2.638895e+00,-5.625068e-01,1.685517e+00
6.000000e-01,1,9.000000e-01,7500,systematic,3.100457e+00,2.291146e+00,-9.756166e-01,1.219367e+00,3.980818e+00,2.620052e+00,-7.021402e-01,1.567847e+00
6.000000e-01,1,9.000000e-01,7500,stratified,3.063371e+00,2.237888e+00,-1.014031e+00,1.199803e+00,3.942157e+00,2.603421e+00,-6.319644e-01,1.534754e+00
6.000000e-01,1,9.000000e-01,7500,residual,3.221946e+00,2.433998e+00,-9.711537e-01,1.234535e+00,4.202033e+00,2.703809e+00,-5.429321e-01,1.671129e+00
